動画ID,タイトル,投稿日（日本時間）,投稿チャンネル,再生数,タグ
8yCN6ccYxfo,ごめんなんか聞きたくなかった / こはならむ×HoneyWorks【Covered by Kotoha】,2021/05/21,Kotoha,352750,Kotoha
MNBzZmrJWtM,春泥棒 / ヨルシカ【Covered by Kotoha】,2021/5/14,Kotoha,649256,Kotoha
RYLbk9hrjRM,Night Butterfly／Tani Yuuki【Covered by Hanon】,2021/5/8,Hanon,150909,Hanon
o_t0IrmnfeU,回る空うさぎ / Orangestar【Covered by Kotoha】,2021/5/7,Kotoha,1198712,Kotoha
dOTiJ5aAc-M,【バンドでカバーしてみた】グッバイ宣言／Chinozo 【Hanon × Kotoha】,2021/05/05,Hanon,635142,"ハコニワリリィ,Hanon,Kotoha"
3KpGONZrOJo,ツキミソウ／Novelbright【Covered by Hanon】,2021/4/28,Hanon,2603931,Hanon
qX1xe1RzA94,人生は最高の暇つぶし / HoneyWorks【Covered by Kotoha】,2021/4/27,Kotoha,190170,Kotoha
u0OvEzIYYPM,人生は最高の暇つぶし／HoneyWorks feat.Hanon,2021/4/24,HoneyWorks OFFICIAL,5843545,Hanon
O63NBhH7Ce4,10月無口な君を忘れる / あたらよ【Covered by Kotoha】,2021/04/23,Kotoha,633592,Kotoha
Um0r4r_dJeE,10月無口な君を忘れる／あたらよ【Covered by Hanon】,2021/04/23,Hanon,337006,Hanon
G18EOtk_XLY,三原色／YOASOBI【Covered by Hanon】,2021/04/20,Hanon,723830,Hanon
-BGbcDaUQLY,桜が降る夜は／あいみょん【Covered by Hanon】,2021/04/09,Hanon,283751,Hanon
XrEI3eZmfWY,心做し / 蝶々P【Covered by Kotoha】,2021/04/08,Kotoha,1989596,Kotoha
m6YG_hGUC1w,Make you happy／NiziU【Covered by Hanon&Kotoha】,2021/04/07,Hanon,410207,"ハコニワリリィ,Hanon,Kotoha"
p_AqIFhBxeU,春ひさぎ／ヨルシカ【Covered by Hanon】,2021/04/06,Hanon,116492,Hanon
56sNnjlKke0,アンコール / YOASOBI【Covered by Kotoha】,2021/04/05,Kotoha,863320,Kotoha
F-8hNXwpaSM,大嫌いなはずだった。/ HoneyWorks【Covered by Hanon×Kotoha】,2021/04/04,Kotoha,1261216,"ハコニワリリィ,Hanon,Kotoha"
JPUz34p9mhM,ヒロイン育成計画／HoneyWorks【Covered by Hanon】,2021/04/03,Hanon,352248,Hanon
mMWtxLpHgKU,靴の花火 / ヨルシカ【Covered by Kotoha】,2021/04/03,Kotoha,266132,Kotoha
uiOpZpzM1Vk,正しくなれない／ずっと真夜中でいいのに。【Covered by Hanon】,2021/04/02,Hanon,499838,Hanon
AdS4nwYqRiA,コンピューターシティ / Perfume【Covered by Kotoha】,2021/04/01,Kotoha,143496,Kotoha
hwJhLT7uMEo,さよならメモリーズ / supercell 【Covered by Hanon×Kotoha】,2021/03/31,Kotoha,781209,"ハコニワリリィ,Hanon,Kotoha"
uvg2X6-1QtE,春擬き／やなぎなぎ【Covered by Hanon】,2021/03/30,Hanon,334425,Hanon
tdpVe4_YFng,寄り酔い / 和ぬか【Covered by Kotoha】,2021/03/29,Kotoha,826849,Kotoha
hm8CdS6m0Ro,優しい彗星 / YOASOBI【Covered by Kotoha】,2021/03/27,Kotoha,636084,Kotoha
Xj8kx7p-n-4,【全力で】誇り高きアイドル／HoneyWorks【Covered by Hanon】,2021/03/27,Hanon,405290,Hanon
Qou76O_Rys0,誇り高きアイドル／HoneyWorks feat.Kotoha,2021/03/19,HoneyWorks OFFICIAL,12855601,Kotoha
Uq2dpsZMA6Q,怪物／YOASOBI【Covered by Hanon】,2021/03/16,Hanon,1084108,Hanon
sZTCocxOlpc,怪物 / YOASOBI【Covered by Kotoha】,2021/03/16,Kotoha,881330,Kotoha
n6iJHhVwfdk,【ポケットモンスターOP】１・２・３／After the Rain【Covered by Hanon×Kotoha】,2021/03/09,Hanon,2736775,"ハコニワリリィ,Hanon,Kotoha"
gtMhHNQqxfk,【ひぐらしのなく頃に】you／癒月【Covered by Hanon】,2021/02/28,Hanon,499753,Hanon
HH0BZT2Hfmc,好き！雪！本気マジック / Mitchie M【Covered by Kotoha】,2021/02/26,Kotoha,711657,Kotoha
X6uvdJhEb1s,Mela!／緑黄色社会【Covered by Hanon】,2021/02/23,Hanon,1034226,Hanon
Ad8qqC9Wxx4,勿忘 / Awesome City Club【Covered by Kotoha】,2021/2/21,Kotoha,696656,Kotoha
aNEr8_NSR08,【Happy Valentine's Day♡】チョコレイト・ディスコ／Perfume【Covered by Hanon×Kotoha】,2021/2/14,Hanon,307931,"ハコニワリリィ,Hanon,Kotoha"
rkWgTQRVxaQ,たばこ / コレサワ【Covered by Kotoha】,2021/02/11,Kotoha,716584,Kotoha
ZhLD-aKF7qw,ドライフラワー／優里【Covered by Hanon】,2021/2/7,Hanon,1464863,Hanon
oT2U8-gUrx8,【NARUTO-ナルト-疾風伝OP】シルエット / KANA-BOON【Covered by Hanon×Kotoha】,2021/1/30,Kotoha,978338,"ハコニワリリィ,Hanon,Kotoha"
jXT5KvkHLCw,雪の華／中島美嘉【Covered by Hanon】,2021/1/26,Hanon,522436,Hanon
_Q8OhyDM_Sg,水平線 / back number【Covered by Kotoha】,2021/01/23,Kotoha,2438671,Kotoha
baVW5K-v_zM,春泥棒／ヨルシカ【Covered by Hanon】,2021/01/21,Hanon,694212,Hanon
LtgJm7q0J78,silent / SEKAI NO OWARI【Covered by Kotoha】,2020/12/24,Kotoha,1436189,Kotoha
VHksRqe8d-Y,クリスマスソング／back number【Covered by Hanon】,2020/12/24,Hanon,589952,Hanon
pTkGRgpXDUY,虹／菅田将暉【Covered by Hanon】,2020/12/21,Hanon,1703725,Hanon
GPeQt9SNR_Q,ドライフラワー / 優里【Covered by Kotoha】,2020/12/19,Kotoha,1642131,Kotoha
I0IsG9qBJko,紅蓮華／LiSA【Covered by Hanon】,2020/12/14,Hanon,497478,Hanon
r6sJl0ilLrs,orion / 米津玄師【Covered by Kotoha】,2020/12/12,Kotoha,832987,Kotoha
1VZK2gQ42ew,ワタシノテンシ / HoneyWorks【Covered by Kotoha】,2020/12/09,Kotoha,288077,Kotoha
jEP0T2N0Kn4,セカイ / DECO*27×堀江晶太(kemu) 【Covered by Kotoha】,2020/12/04,Kotoha,2506128,Kotoha
ClUlr7In8DU,カムパネルラ／米津玄師【Covered by Hanon】,2020/11/27,Hanon,228089,Hanon
6SsLXip4qAE,115万キロのフィルム／Official髭男dism【Covered by Hanon】,2020/11/18,Hanon,1012781,Hanon
zdsJ1cnN82o,好きにさせた癖に / あれくん【Covered by Kotoha】,2020/11/16,Kotoha,768386,Kotoha
2hxCHM7r4Y4,再会 ／LiSA×Uru【Covered by Hanon×Kotoha】,2020/11/12,Hanon,2476080,"ハコニワリリィ,Hanon,Kotoha"
D1tE6HjBsPI,魔法の絨毯／川崎鷹也【Covered by Hanon】,2020/11/11,Hanon,797111,Hanon
WStNZiVLZkc,ANIMA / ReoNa【Covered by Kotoha】,2020/11/09,Kotoha,1193080,Kotoha
HrLz0tozdQI,婚約戦争〜Hanon×Kotoha×かぴ〜／HoneyWorks,2020/11/06,Kotoha,250613,"ハコニワリリィ,Hanon,Kotoha"
croKZMGP4eM,恋愛成就 / HoneyWorks【Covered by Kotoha】,2020/10/21,Kotoha,145662,Kotoha
bc5QqynxlAc,【劇場版「鬼滅の刃」主題歌】炎／LiSA【Covered by Hanon】,2020/10/19,Hanon,1507020,Hanon
8dTmQxlCDWQ,シス×ラブ / HoneyWorks【Covered by Hanon＆Kotoha】,2020/10/17,Kotoha,448973,"ハコニワリリィ,Hanon,Kotoha"
35dW4s8wRjg,好きが溢れていたの / もさを。【Covered by Kotoha】,2020/10/12,Kotoha,454860,Kotoha
A_EnCRee0Vc,ヒロイン育成計画 / HoneyWorks【Covered by Kotoha】,2020/10/11,Kotoha,269600,Kotoha
QC1kj7qy_90,【試聴動画】水声少女／HoneyWorks feat.Hanon×Kotoha【重大発表】,2020/10/01,Kotoha,47443,"ハコニワリリィ,Hanon,Kotoha"
BjLWCcdFKQs,ただ君に晴れ / ヨルシカ【Covered by Kotoha】,2020/9/29,Kotoha,1150658,Kotoha
PctDNDiawnw,糸／中島みゆき【Covered by Hanon】,2020/09/26,Hanon,673513,Hanon
l4sZ67KjAdE,風になる / つじあやの【Covered by Kotoha】,2020/09/20,Kotoha,873947,Kotoha
e3Kk6wDq_gw,セプテンバーさん / RADWIMPS【Covered by Hanon×Kotoha】,2020/09/16,Kotoha,1352561,"ハコニワリリィ,Hanon,Kotoha"
1Nq0FER0GdE,映画「リトル・マーメイド」Part of Your World／Jodi Benson【Covered by Hanon】,2020/09/11,Hanon,270818,Hanon
IzSpvRx-A1k,ともに / WANIMA  【Covered by Hanon×Kotoha】,2020/08/30,Kotoha,1092342,"ハコニワリリィ,Hanon,Kotoha"
_2WAEzPwCGs,【HoneyWorks BAND】アイネクライネ-Acoustic Live ver- 【Covered by Kotoha】,2020/08/29,Kotoha,2820520,Kotoha
n78uGNaXLJ4,愛に出会い恋は続く-Acoustic Live ver- feat. Hanon×Kotoha,2020/08/29,HoneyWorks OFFICIAL,1044836,"ハコニワリリィ,Hanon,Kotoha"
6j5MGm97rvE,恋文-Acoustic Live ver- feat. Hanon×Kotoha,2020/08/29,HoneyWorks OFFICIAL,405817,"ハコニワリリィ,Hanon,Kotoha"
hYvxAlBimMM,【HoneyWorks BAND】丸の内サディスティック -Acoustic Live ver.-【Covered by Hanon】,2020/08/29,Hanon,328289,Hanon
R0j3AslF7ac,東京サマーセッション-Acoustic Live ver- feat. Hanon×Kotoha,2020/08/28,HoneyWorks OFFICIAL,967847,"ハコニワリリィ,Hanon,Kotoha"
fAOHiwrKIxs,【オリジナルMV】快晴 / Orangestar【Covered by Kotoha】,2020/08/24,Kotoha,925146,Kotoha
J_Fp3BIEpWM,【ワタシノテンシ -another story- 】ワタシノミカタ／HoneyWorks feat. Hanon,2020/08/23,Hanon,2180050,Hanon
fBqv0OM3vzU,打上花火／DAOKO×米津玄師【Covered by Hanon×Kotoha】,2020/08/12,Hanon,482104,"ハコニワリリィ,Hanon,Kotoha"
U2O9pX05M9E,浮気されたけどまだ好きって曲。 / りりあ。【Covered by Kotoha】,2020/07/17,Kotoha,312905,Kotoha
9spcpe0QYOU,Myra／Tani Yuuki【Covered by Hanon】,2020/07/16,Hanon,1169964,Hanon
3KQCiySH-NM,ロキ / みきとP【Covered by Hanon&Kotoha】,2020/06/27,Kotoha,811898,"ハコニワリリィ,Hanon,Kotoha"
NHQ3hLITsJc,春を告げる / yama【Covered by Kotoha】,2020/06/10,Kotoha,312020,Kotoha
H0qsdnaWWTo,金曜日のおはよう-another story-／HoneyWorks【Covered by Hanon】,2020/05/28,Hanon,6855133,Hanon
U9WKtUBSubk,藍二乗／ヨルシカ【Covered by Hanon】,2020/05/26,Hanon,340359,Hanon
7v_RhtaU1Ss,トリセツ /  西野カナ【Covered by Kotoha】,2020/05/20,Kotoha,2673016,Kotoha
weELCo5vI4o,猫／DISH//【Covered by Hanon】,2020/05/19,Hanon,4833787,Hanon
9thkhzEffIU,テレキャスタービーボーイ / すりぃ【Covered by Kotoha】,2020/05/13,Kotoha,238254,Kotoha
pvVJfMYk_TA,恋人たちのハッピーバースデー／HoneyWorks feat. Hanon×Kotoha,2020/05/08,Hanon,688784,"ハコニワリリィ,Hanon,Kotoha"
EQVDfQ4zZvs,可愛くなりたい／Hanon《cover》,2020/05/07,Hanon,314623,Hanon
cNamgKIy2Xg,最悪な日でもあなたが好き。／HoneyWorks feat. Hanon×Kotoha,2020/05/05,Hanon,453050,"ハコニワリリィ,Hanon,Kotoha"
e0vume4Fkvk,Shape of You／Ed Sheeran【Covered by Hanon】,2020/04/24,Hanon,924972,Hanon
BZHT1XYwAkY,長くなった春休み／Hanon,2020/04/19,Hanon,54014,Hanon
hGqCNzQ-DqQ,【MV】恋文／HoneyWorks feat. Hanon×Kotoha【オリジナル】,2020/04/11,Hanon,1894715,"ハコニワリリィ,Hanon,Kotoha"
C2p5JC5zZcY,カタオモイ／Aimer【Covered by Hanon】,2020/03/27,Hanon,714094,Hanon
ieL88Tq23SU,【MV】すたんどあっぷ！！！／HoneyWorks  feat. Hanon×Kotoha【オリジナル】,2020/3/14,Hanon,337449,"ハコニワリリィ,Hanon,Kotoha"
pHiKC2j98DE,【MV】じゃぱにーずTOKYOガール／HoneyWorks  feat. Hanon×Kotoha【オリジナル】,2020/2/28,Hanon,427242,"ハコニワリリィ,Hanon,Kotoha"
uEzAWtF8F-Y,Pretender／Official髭男dism【Covered by Hanon】,2020/2/22,Hanon,396850,Hanon
0x4fCEF8qIY,ワタシノテンシ／Hanon《cover》,2019/12/24,Hanon,684176,Hanon
qqzStAotY14,空の青さを知る人よ／あいみょん【Covered by Hanon】,2019/11/9,Hanon,406649,Hanon
RbsTVqkyeoU,Sunsetカンフー／TrySail【Covered by Hanon & Kotoha】,2019/10/28,Hanon,391173,"ハコニワリリィ,Hanon,Kotoha"
LRJhe6uf5A0,ラブホイッスル -Acoustic Arrange-【Covered by Hanon】,2019/10/6,Hanon,997028,Hanon
KHwstDLZZTQ,パプリカ／Foorin × 米津玄師【Covered by Hanon】,2019/9/21,Hanon,202494,Hanon
9wlcXCbk2ko,愛にできることはまだあるかい／RADWIMPS【Covered by Hanon】,2019/9/18,Hanon,452538,Hanon
TDpJAuxpfMs,愛に出会い恋は続く／HoneyWorks feat.Kotoha,2019/09/13,HoneyWorks OFFICIAL,17688139,Kotoha
40M1ljtF3-Y,乙女どもよ。／Hanon《cover》,2019/09/11,Hanon,511086,Hanon
HTyuHSfqEhI,会いたいよ／手塚翔太【Covered by Hanon】（ドラマ『あなたの番です~反撃編~』主題歌）,2019/09/08,Hanon,101891,Hanon
ZtQPRzTqzq8,青と夏／Mrs. GREEN APPLE【Covered by Hanon】,2019/08/26,Hanon,1725215,Hanon
29XRer_lLv8,月曜日の憂鬱／Hanon《cover》,2019/07/29,Hanon,512079,Hanon
VzGBRrgAZmA,告白ライバル宣言 -Acoustic Arrange-／Hanon《cover》,2019/07/24,Hanon,274096,Hanon
dX3xYExGeQ0,【HoneyWorks】VIP【くろくも/この子/TM/Hanon】,2019/07/19,HoneyWorks OFFICIAL,1456265,Hanon
X8TLVvIyEaw,まちがいさがし／菅田将暉【Covered by Hanon】,2019/07/10,Hanon,2067142,Hanon
oDlZ3jBM_j8,心に穴が空いた / ヨルシカ【Covered by HoneyWorks feat.Hanon】,2019/07/10,HoneyWorks OFFICIAL,796187,Hanon
ZoK213vrbgE,ファンサ／Hanon(cover),2019/06/26,HoneyWorks OFFICIAL,2331703,Hanon
Y715Q-zYncg,だから僕は音楽を辞めた /ヨルシカ【Covered by HoneyWorks feat.Hanon】,2019/05/29,HoneyWorks OFFICIAL,3252684,Hanon
bIFuGaUEAtU,告白してもいいですか -another story-／HoneyWorks feat. Hanon【#パラスク】第0話,2019/02/26,HoneyWorks OFFICIAL,3058207,Hanon
XJHMVtOoAt4,私が恋を知る日(cover)／Hanon,2018/12/22,HoneyWorks OFFICIAL,1213762,Hanon
